Name,logobg,Country,City,State,ProductType,ImpactArea,logofile,Contact,Funding,Website,Stage,AwardDate,ProductName,Description,Disruption,CostShare,lat,lon
Qvella,n,United States,Carlsbad,CA,Device / Diagnostic,Sepsis,Qvella_logo.png,LisaG@Qvella.com,692236,https://www.qvella.com/,TRL 3 - Feasibility Demonstration,2/11/19,FAST-HR Assay for Sepsis,Expansion of FAST-ID platform to include host biomarkers for diagnosis of sepsis and infection,"Groundbreaking dianostic tech to diagnose infection in patients suspected of sepsis with assay results in 60 minutes. Rapid, accurate diagnosis will save lives and improve patient outcomes.",296673,33.118207,-117.278585
Enesi,n,United Kingdom,Abingdon,Oxfordshire,Drug / Pharmaceutical,Other,Enesi_logo.png,enquiries@enesipharma.com,688863,https://www.enesipharma.com/,TRL 5 - Demonstration,4/10/19,ImplaVax,Analytical and pre-clinical evaluation of novel ImplaVax-enabled solid dose implant formulations of marketed influenza vaccines in validated models,"Through simple but robust needle-free vaccine delivery system, ImplaVax has the potential to become a cost-effective innovation that could improve influenza vaccination update, coverage, and compliance, and provide unsurpassed health security in the face of seasonal or pandemic influenza outbreaks.",295227,51.623753,-1.290546
Janus-I Science,n,United States,Vista,CA,Device / Diagnostic,Other,Janus_logo.png,admin@jiscience.com,710619,https://jiscience.com/,TRL 3 - Feasibility Demonstration,4/15/19,Diagnostic Assay using Direct RNA Sequencing,"Development of a simple nanopore sequencing-based platform that can identify unknown viruses in clinical specimen and detect host responses, enabling identification of the causative agent of a viral infection and providing host response information without having any preconceived notions about the virus(es) involved.","This project has the potential to revolutionize diagnostic testing by enabling a truly agnostic prognostic diagnostic, based on nanopore sequencing technologies, to be integrated into patient-care settings, informing caregivers to begin appropriate treatement and intervention at the earliest possible time point, saving lives and reducing morbidity.",304560,33.137179,-117.222506
Biobeat,n,Israel,Petach Tikva,Mehoz HaMerkaz,Other,ENACT,biobeat_logo.png,info@bio-beat.com,89250,https://www.biobeat.cloud/,TRL 6 - System Integration and Testing,5/21/19,Biobeat Influenza Human Challenge Study,The use of a wearable device to continuously capture clinical endpoints can lead to better technologies alert users prior to symptom onset.,"By leveraging the Biobeat wearable device in an Influenza Vaccine IND Human Challenge study, DRIVe aims to overcome significant challenges associated with patient reported outcomes as well as collect key health signatures in the earliest stages of disease.",25250,32.086921,34.852991
Evidation Health,n,United States,San Mateo,CA,Other,ENACT,evidation_logo.png,press@evidation.com,749898,https://evidation.com,TRL 6 - System Integration and Testing,6/25/19,Evidation Novel Data Collection and Analysis,Leverage the Evidation research platform utilizing patient-generated health to improve infectious disease prediction and enhance capabilities to detect respiratory infections prior to the onset of symptoms,This technology has the potential to enable Americans to monitor their respiratory disease symptoms and take precautions against spreading such diseases - days before symptoms appear,585750,37.565818,-122.324512
University of California San Diego,n,United States,La Jolla,CA,Device / Diagnostic,ENACT,ucsd-brand-logo.png,ucpa-general@ucsd.edu,557340,https://ucsd.edu/,TRL 3 - Feasibility Demonstration,7/25/19,In-Vivo Vagus Sentinels to Detect and Prevent Infection,"Non-invasive, continuous monitoring of host-response through measurements of vagus nerve firing patterns can lead to development of novel diagnostic monitoring systems on the user or in the home.","In the near future, this technology will provide Americans continuous monitoring to alert them of potential exposures to pathogens. This allows interventions against progression of disease potentially days before symptoms appear.",238860,32.87526317,-117.2361324
"Inflammatix, Inc",n,United States,Burlingame,CA,Device / Diagnostic,Sepsis,inflammatix_logo.png,tim@inflammatix.com,749000,https://www.inflammatix.com/,TRL 5 - Demonstration,8/5/19,HostDx-Sepsis,Diagnostic that can determine the presence and type of acute infection or sepsis (bacterial vs. viral vs. non-infected) as well as prognosticate outcome.,"When an infection progresses to sepsis, that infection becomes life threatening. Having a diagnostic that both identifies type of infection and determines the likelihood of mortality will facilitate appropriate clinical management.",1365410,37.6,-122.3736
Sonica Health,n,United States,Evanston,IL,Device / Diagnostic,ENACT,Sonica_logo.png,,656420,http://www.sonicahealth.com/,TRL 7,8/1/19,Sonica's Advanced Acoustomechanic (ADAM) System,"Sonica's ADAM system comprises a soft, comfortable and continuous bio-integrated wireless sensor that couples intimately to the skin in unique locations of anatomical performance. This project will examine user compliance, and establish ADAM's ability to identify early respiratory infections in a high-risk clinical population.","Potential to provide a full suite of respiratory digital biomarkers and ability to predict impending respiratory infection, warn of continued infectiousness, and identify treatment non-responders.",322610,42.042436,-87.699329
Sound Life Sciences,n,United States,Seattle,WA,Other,ENACT,SLS_logo.png,,746815,https://www.soundlifesci.com/,TRL 4 - Optimization,8/8/19,Sound Life Sciences software monitoring system,Sound Life Sciences' sonar enabled smart speaker can monitor individuals breathing rate and morphology within the comforts of their home with the potential for early identification of acute respiratory infection. ,"This technology promotes a rapid, noninvasive detection modality for respiratory infections, thereby improving social distancing and reducing the spread of illness caused by in-person medical, lab & pharmaceutical care. ",320065,47.656587,-122.316098
98point6,n,United States,Seattle,WA,Other,Other,98point6_Trademark_Logo_4CP.png,,257670,https://www.98point6.com,TRL 9,8/6/19,Comprehensive Respiratory Infection Interdiction Program,This service pairs AI/machine learning with board-certified physicians to meet patients nationwide wherever they are via their smartphone. This technology empowers Americans by providing on-demand virtual care to treat infectious diseases.,"This technology promotes more rapid detection and treatment, thereby improving social distancing and reducing the spread of illness caused by in-person medical, lab & pharmaceutical care. ",110430,47.604638,-122.330888
