Name,logobg,Country,City,State,ProductType,ImpactArea,logofile,Contact,Funding,Website,Stage,Active,AwardDate,AwardEndDate,ProductName,Description,Disruption,CostShare,lat,lon,News
"Inflammatix, Inc",n,United States,Burlingame,CA,Device / Diagnostic,Sepsis,inflammatix_logo.png,tim@inflammatix.com,749000,https://www.inflammatix.com/,TRL 5 - Demonstration,Y,8/5/19,9/4/21,HostDx-Sepsis,Diagnostic that can determine the presence and type of acute infection or sepsis (bacterial vs. viral vs. non-infected) as well as prognosticate outcome.,"When an infection progresses to sepsis, that infection becomes life threatening. Having a diagnostic that both identifies type of infection and determines the likelihood of mortality will facilitate appropriate clinical management.",1365410,37.6,-122.3736,inflammitix_announcement
Sonica Health,n,United States,Evanston,IL,Device / Diagnostic,ENACT,Sonica_logo.png,,656420,http://www.sonicahealth.com/,TRL 7,N,3/31/21,3/31/21,Sonica's Advanced Acoustomechanic (ADAM) System,"Sonica's ADAM system comprises a soft, comfortable and continuous bio-integrated wireless sensor that couples intimately to the skin in unique locations of anatomical performance. This project will examine user compliance, and establish ADAM's ability to identify early respiratory infections in a high-risk clinical population.","Potential to provide a full suite of respiratory digital biomarkers and ability to predict impending respiratory infection, warn of continued infectiousness, and identify treatment non-responders.",400710,42.042436,-87.699329,sonica_announcement
Sound Life Sciences,n,United States,Seattle,WA,Other,ENACT,SLS_logo.png,,746815,https://www.soundlifesci.com/,TRL 4 - Optimization,N,8/8/19,6/3/21,Sound Life Sciences software monitoring system,Sound Life Sciences' sonar enabled smart speaker can monitor individuals breathing rate and morphology within the comforts of their home with the potential for early identification of acute respiratory infection. ,"This technology promotes a rapid, noninvasive detection modality for respiratory infections, thereby improving social distancing and reducing the spread of illness caused by in-person medical, lab & pharmaceutical care. ",320065,47.656587,-122.316098,soundlife_announcement
98point6,n,United States,Seattle,WA,Other,ENACT,98point6_Trademark_Logo_4CP.png,,257670,https://www.98point6.com,TRL 9,N,8/6/19,2/5/21,Comprehensive Respiratory Infection Interdiction Program,This service pairs AI/machine learning with board-certified physicians to meet patients nationwide wherever they are via their smartphone. This technology empowers Americans by providing on-demand virtual care to treat infectious diseases.,"This technology promotes more rapid detection and treatment, thereby improving social distancing and reducing the spread of illness caused by in-person medical, lab & pharmaceutical care. ",110430,47.604638,-122.330888,ninetyeightpointsix_announcement
Rory Staunton Foundation for Sepsis Prevention,n,United States,New York,NY,Other,Sepsis,The_Rory_Staunton_logo.png,,254664,https://rorystauntonfoundationforsepsis.org/,NA,N,9/30/19,3/31/21,Maternal Sepsis Education,"Identify and analyze the risk factors associated with maternal sepsis in order to educate providers, patients, policymakers and other key stakeholders about the condition through the development of audience-specific educational materials and tools.","As one of the leading causes of pregnancy-related deaths in the US, this partnership will increase understanding of the risk factors associated with maternal sepsis, increase public awareness and empower health care providers and patients to improve health outcomes. ",120114,40.76095,-73.98205,rory_announcement
Beckman Coulter ,n,United States,Brea,CA,Device / Diagnostic,Sepsis,beckman-coulter-logo.png,,7750090 (Full Award Potential),https://www.beckmancoulter.com/ ,TRL 4 - Optimization,N,9/30/19,12/31/21,Analytic algorithm for sepsis prediction and detection,A sepsis diagnostic integrating EHR data with novel laboratory test parameters ,A next generation algorithm that combines EHR data with laboratory test parameters will be able to rapidly test and predict sepsis earlier.  This is critical for early intervention with sepsis patients to save lives.,5180900 (Full Award Potential),33.91575,-117.86011,coulter_announcement
Cytovale,n,United States,San Francisco,CA,Device / Diagnostic,Sepsis,cytovale_logo.png,info@Cytovale.com,7583858 (Full Award Potential),http://cytovale.com/,TRL 5 - Product Development,N,9/28/19,12/1/21,Rapid Sepsis Diagnostic for Early Detection,Advance development towards FDA clearance of a sepsis diagnostic designed to measure immune cell activity associated with the host immune response to sepsis,"Cytovale's system leverages the latest technology in microfluidics, high speed imaging, and machine learning to detect sepsis-specific biophysical signatures of immune cells. A sepsis diagnostic with results in under 10 minutes will facilitate rapid, life-saving intervention for sepsis.",3911796 (Full Award Potential),37.711156,-122.393321,cytovale2_announcement
GE Research,n,United States,Niskayuna,NY,Device / Diagnostic,ENACT,GE_Research_logo.png,,700000,https://www.ge.com/research/,TRL 3 - Feasibility Demonstration,N,9/11/19,9/14/21,GE ultrasound neuromodulation technology,Continue to advance prior US Government development of GE ultrasound neuromodulation technology as a diagnostic test. ,"Potential to detect pre-symptomatic exposure to respiratory pathogens and pneumonia using ultrasound.  GE's ultrasound neuromodulation technology involves using an ultrasound stimulus to activate a neuroimmune pathway, such that the response to the stimulus provides a more rapid assessment of exposure. ",319617,42.82632,-73.87913,GE_announcement
Rizlab Health,n,United States,Princeton,NJ,Device / Diagnostic,ENACT,RizLab_logo.png,,741000,https://rizlabhealth.wixsite.com/website,TRL 4 - Optimization,N,8/30/19,8/31/21,Cytotracker,"The CytoTracker is a pocket-size device that can perform complete blood counts (CBCs) from a drop of blood to help inform disease diagnosis for a number of illnesses such as infectious disease, cancer, and various autoimmune diseases.  ","The Rizlab CytoTracker will enable patients suffering from cold symptoms to be assessed for the likelihood of a viral or bacterial infection.  Once this system is developed, it will help clinicians assess patients in their care at their homes to determine the appropriateness of antibiotic use by differentiating those suffering from a viral infection from those infected with bacteria.",323000,40.355652,74.603142,Rizlab_announcement
Stanford Medicine,n,United States,Stanford,CA,Device / Diagnostic,ENACT,stanford_medicine.png,tsoh@stanford.edu,695357,https://web.stanford.edu/group/sohlab/cgi-bin/wordpress/,TRL 3 - Feasibility Demonstration,Y,9/30/19,6/30/21,Lab on A Dust,"LDS is a revolutionary, fully integrated, mm scale molecular diagnostic system based on a disposable silicon chip","The millimeter sized system can be immersed in a clinical sample, simultaneously measure multiple protein biomarkers, and wirelessly transmit results (no sample prep, instrumentation, or reagents required), thus achieving a truly ""distributed"" molecular diagnostics in a miniaturized and low-cost manner.",399775,37.40954,-122.1507,
Stanford Medicine,n,United States,Stanford,CA,Device / Diagnostic,ENACT,stanford_medicine.png,tsoh@stanford.edu,698251,https://web.stanford.edu/group/sohlab/cgi-bin/wordpress/,TRL 3 - Feasibility Demonstration,Y,9/20/19,3/30/21,Minimally Invasive Monitoring of Stress State,Advance development towards continuous monitoring of host response markers such as cytokines to indicate presymptomatic exposures to pathogens via Stanford's smart patch sensor.,"Stanford's technology leverages the latest technology in sensors, wearable technology and microfluidics to detect biochemical markers in interstitial fluid. The patch is expected to last approximately 2 weeks and allow individuals to monitor their own health at home, on the go, etc. and receive a warning of a potential infection days prior to symptom onset.",429394,37.40954,-122.1507,
Empatica,n,United States,Cambridge,MA,Device / Diagnostic,ENACT,Empatica_logo.png,press@empatica.com,717807,https://www.empatica.com/,TRL 7,Y,6/18/20,12/31/20,Early Monitoring Platform Against COVID-19 Transmission,"EMPACT (Early Monitoring Platform Against COVID-19 Transmission) is an early warning platform for COVID-19 infection. This diagnostics platform enables continuous and real-time insight into infection likelihood before symptoms present, through the use of a wearable device that can continuously monitor physiological health markers.","Individuals infected with SARS-CoV-2 and similar viruses usually seek diagnostic tests once they begin exhibiting symptoms, often after an infected person is contagious. Empatica aims to prevent spread by detecting infection in individuals before the onset of symptoms, allowing early intervention through self-quarantine, treatment, and care.",567091,42.362977,-71.083918,Empatica_announcement
Evidation Health,n,United States,San Mateo,CA,Device / Diagnostic,ENACT,evidation_logo.png,press@evidation.com,720000,https://evidation.com,TRL 6 - System Integration and Testing,Y,4/20/20,4/30/21,COVID-19 Detection And Forecasting Model Pilot,"This project builds on Evidation's current partnership with BARDA to monitor individuals for respiratory infections, such as influenza. This pilot study will demonstrate utility of empowering Americans with a novel means to self-monitor to improve health outcomes for COVID-19. The study will initiate with healthcare workers and first responders, who are our nation's, front-line responders, to more readily be diagnosed to prevent exposure to others. The study has the potential for large-scale deployment to allow Americans to determine risk of COVID-19 and to appropriately implement precautions against spread of COVID-19 and other such diseases.","The outcomes of this study will be shared amongst United States government and private partners to advance and develop a tool to monitor healthcare workers and first responders that can leverage de-identified, patient-generated health data and provide an early warning algorithm to identify early signals of COVID-19. The ultimate goal will be to have a scalable, integrated system that can alert users of exposure and symptom onset.",564133,37.565818,-122.324512,
98point6,n,United States,Seattle,WA,Other,ENACT,98point6_Trademark_Logo_4CP.png,,700000,https://www.98point6.com,TRL 9,N,9/11/20,1/31/21,"Text Based Medical Care via a Smartphone Interface and Artificial Intelligence to Assess, Triage, Diagnose and Treat COVID-19","The 98point6 platform of primary care telemedicine will use a text-based interface, augmented by machine learning to provide a comprehensive program of diagnosis, assessment, triage, reporting and tracking of patients infected with SARS-CoV-2.","98point6 will develop and deploy a comprehensive program of COVID-19 interdictions. As treatment and vaccination options become available, 98point6 will build targeted workflows to encourage effective interventions based on demographics, risk factors and other data. 98point6 will provide patients with relevant information on reducing disease transmission and monitor patient health via follow-ups.",431276,47.604638,-122.330888,ninetyeightpointsix_announcement
Experovax,n,United States,Plymouth,MI,Other,BTN,esperovax_logo.png,,606780,https://esperovax.com/,NA,Y,7/28/20,10/31/21,Egress RD mRNA Oral Cellular Vaccine Delivery Technology,An oral immunization for COVID-19 involving delivery of enveloped virus like particles (eVLPs) by capsule to the gut that will induce immune protection against disease.,"This technology aims to provide a cost-effective technological innovation that improves immunization uptake, coverage, compliance and preparedness, with the potential for self-administration  ",260048,42.38413,-83.50525,
Vaxess Technology,n,United States,Cambridge,MA,Micro-Needle Patch,BTN,VAXESS_logo.png,contact@vaxess.com,749000,http://vaxess.com/,NA,Y,8/6/20,6/30/21,MIMIX-COVID Pre-fusion Spike Protein Micro Array Patch,"MIMIX Vaccine Patch Development and Scaling of shelf-stable, self-applied, single-dose Micro Array Patch (MAP) technology ",This technology could open the profound potential for large-scale distribution of self-administered immunizations that rival or potentially surpass the effectiveness of an immunization delivered via traditional needle and syringe.,403983,42.36009,-71.1149,
Verndari,n,United States,Napa,CA,Micro-Needle Patch,BTN,vernardi_logo.png,avanprooyen@verndariinc.com,698215,https://www.verndariinc.com/,NA,Y,7/24/20,6/30/21,VaxiPatch TM Complete Vaccination Kit ,SARS-CoV-2 Recombinant Spike Receptor Binding Domain protein administered via Micro Array Patch (MAP) Technology,"This technology aims to provide a cost-effective technological innovation that improves immunization uptake, coverage, compliance and preparedness, with the potential for self-administration. ",328572,47.604638,-122.330888,
